rank,region,id,label,unit,before,after,delta,before_pixels,after_pixels,status,note
1,eye_texture,screen_left_upper_lid_skin_highpass_median_pct,画面左眉下の皮膚の細かな質感コントラスト（中央値）,局所L*比 %,0.2005576640367508,0.9664199352264404,0.7658622711896896,1047,1094,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。細かな凹凸・線・メイク境界・ピント・圧縮ノイズをまとめて拾う画像指標で、乾燥・シワの診断ではない。 元画像の対象1047画素（必要100画素以上）。
1,eye_texture,screen_left_upper_lid_skin_highpass_p90_pct,画面左眉下の皮膚の細かな質感コントラスト（p90）,局所L*比 %,0.7828282713890076,3.2320828437805176,2.44925457239151,1047,1094,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。局所的に強く見える細線や粒状感の候補で、乾燥・シワの診断ではない。 元画像の対象1047画素（必要100画素以上）。
1,eye_texture,screen_right_upper_lid_skin_highpass_median_pct,画面右眉下の皮膚の細かな質感コントラスト（中央値）,局所L*比 %,0.14527396857738495,0.7417442202568054,0.5964702516794205,1141,1198,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。細かな凹凸・線・メイク境界・ピント・圧縮ノイズをまとめて拾う画像指標で、乾燥・シワの診断ではない。 元画像の対象1141画素（必要100画素以上）。
1,eye_texture,screen_right_upper_lid_skin_highpass_p90_pct,画面右眉下の皮膚の細かな質感コントラスト（p90）,局所L*比 %,0.4894324839115143,2.7543838024139404,2.264951318502426,1141,1198,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。局所的に強く見える細線や粒状感の候補で、乾燥・シワの診断ではない。 元画像の対象1141画素（必要100画素以上）。
1,eye_texture,left_cheek_highpass_median_pct,画面左頬の細かな質感コントラスト（中央値・対照）,局所L*比 %,0.1383146196603775,0.2566326856613159,0.11831806600093842,7425,7587,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。眉下ROIと同じ式で撮影条件由来の高周波変化を確認する対照指標。乾燥・シワの診断ではない。 元画像の対象7425画素（必要100画素以上）。
1,eye_texture,left_cheek_highpass_p90_pct,画面左頬の細かな質感コントラスト（p90・対照）,局所L*比 %,0.3559496998786926,0.9011497497558594,0.5452000498771667,7425,7587,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。眉下ROIと同じ式で撮影条件由来の局所的な細線・粒状感を確認する対照指標。乾燥・シワの診断ではない。 元画像の対象7425画素（必要100画素以上）。
1,eye_texture,right_cheek_highpass_median_pct,画面右頬の細かな質感コントラスト（中央値・対照）,局所L*比 %,0.11960765719413757,0.19350296258926392,0.07389530539512634,10480,9816,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。眉下ROIと同じ式で撮影条件由来の高周波変化を確認する対照指標。乾燥・シワの診断ではない。 元画像の対象10480画素（必要100画素以上）。
1,eye_texture,right_cheek_highpass_p90_pct,画面右頬の細かな質感コントラスト（p90・対照）,局所L*比 %,0.31563782691955566,0.594059407711029,0.2784215807914734,10480,9816,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。眉下ROIと同じ式で撮影条件由来の局所的な細線・粒状感を確認する対照指標。乾燥・シワの診断ではない。 元画像の対象10480画素（必要100画素以上）。
1,eye_texture,forehead_highpass_median_pct,額の細かな質感コントラスト（中央値・対照）,局所L*比 %,0.04806417226791382,0.08459127694368362,0.036527104675769806,6480,6949,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。眉下ROIと同じ式で撮影条件由来の高周波変化を確認する対照指標。乾燥・シワの診断ではない。 元画像の対象6480画素（必要100画素以上）。
1,eye_texture,forehead_highpass_p90_pct,額の細かな質感コントラスト（p90・対照）,局所L*比 %,0.1917087286710739,0.31295156478881836,0.12124283611774445,6480,6949,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。眉下ROIと同じ式で撮影条件由来の局所的な細線・粒状感を確認する対照指標。乾燥・シワの診断ではない。 元画像の対象6480画素（必要100画素以上）。
1,eye_texture,screen_left_upper_lid_skin_sesc_inspired_scaliness_pct,画面左眉下の皮膚のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,1047,1094,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象1047画素（必要100画素以上）。
1,eye_texture,screen_right_upper_lid_skin_sesc_inspired_scaliness_pct,画面右眉下の皮膚のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,1141,1198,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象1141画素（必要100画素以上）。
1,eye_texture,left_cheek_sesc_inspired_scaliness_pct,画面左頬・対照のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,7425,7587,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象7425画素（必要100画素以上）。
1,eye_texture,right_cheek_sesc_inspired_scaliness_pct,画面右頬・対照のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,10480,9816,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象10480画素（必要100画素以上）。
1,eye_texture,forehead_sesc_inspired_scaliness_pct,額・対照のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,6480,6949,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象6480画素（必要100画素以上）。
1,eye_texture,screen_left_upper_lid_skin_gvr_inspired_ratio,画面左眉下の皮膚のGVR-inspired皮膚水分反射比,ratio,2.85116413266959e-07,7.264033047617631e-07,4.4128689149480404e-07,1047,1094,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象1047画素（必要100画素以上）。"
1,eye_texture,screen_right_upper_lid_skin_gvr_inspired_ratio,画面右眉下の皮膚のGVR-inspired皮膚水分反射比,ratio,1.3782725959645637e-08,8.285946882555887e-07,8.14811962295943e-07,1141,1198,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象1141画素（必要100画素以上）。"
1,eye_texture,left_cheek_gvr_inspired_ratio,画面左頬・対照のGVR-inspired皮膚水分反射比,ratio,1.4701643143872404e-06,3.930550849110872e-07,-1.0771092294761534e-06,7425,7587,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象7425画素（必要100画素以上）。"
1,eye_texture,right_cheek_gvr_inspired_ratio,画面右頬・対照のGVR-inspired皮膚水分反射比,ratio,5.976410258327856e-07,1.422814395878631e-07,-4.553595862449225e-07,10480,9816,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象10480画素（必要100画素以上）。"
1,eye_texture,forehead_gvr_inspired_ratio,額・対照のGVR-inspired皮膚水分反射比,ratio,1.9926117200127705e-07,0.0,-1.9926117200127705e-07,6480,6949,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象6480画素（必要100画素以上）。"
